word,definition,part_of_speech,synonyms
parakinetic,"of, relating to, or affected with a disorder of motor function resulting in abnormal movements",adjective,"['parakinesia', 'parakinetic']"
pneumoperitoneum,an abnormal state characterized by the presence of gas (as air) in the peritoneal cavity,noun,"['pneumoperitonea', 'pneumoperitoneum', 'pneumoperitoneums']"
pneumopericardium,an abnormal state characterized by the presence of gas (as air) in the pericardium,noun,"['pneumopericardia', 'pneumopericardium', 'pneumopericardiums']"
properitoneal,lying between the parietal peritoneum and the ventral musculature of the body cavity,adjective,['properitoneal']
intraperitoneal,situated within or administered by entering the peritoneum,adjective,"['intraperitoneal', 'intraperitoneally']"
retroperitoneum,"the space between the peritoneum and the posterior abdominal wall that contains especially the kidneys and associated structures, the pancreas, and part of the aorta and inferior vena cava",noun,"['retroperitonea', 'retroperitoneum', 'retroperitoneums']"
ventriculoperitoneal,relating to or serving to communicate between a ventricle of the brain and the peritoneal cavity,adjective,['ventriculoperitoneal']
indisposed,being usually temporarily in poor physical health : slightly ill,adjective,"['indisposed', 'indisposition', 'indispositions']"
despeciate,to remove the characteristic antigenicity of (a foreign protein) by chemical or other treatment,transitive verb,"['despeciate', 'despeciated', 'despeciates', 'despeciating', 'despeciation', 'despeciations']"
dissociation,the act or process of dissociating : the state of being dissociated: as,noun,"['dissociation', 'dissociations']"
apposition,the placing of things in juxtaposition or proximity; specifically : deposition of successive layers upon those already present (as in cell walls),noun,"['appose', 'apposed', 'apposes', 'apposing', 'apposition', 'appositional', 'appositions']"
dislocation,displacement of one or more bones at a joint : luxation,noun,"['dislocation', 'dislocations']"
position,a particular arrangement or location; specifically : an arrangement of the parts of the body considered particularly desirable for some medical or surgical procedure,noun,"['position', 'positional', 'positionally', 'positions']"
reposition,to return to or place in a normal or proper position,transitive verb,"['reposition', 'repositioned', 'repositioning', 'repositions']"
decomposition,the act or process of decomposing : the state of being decomposed:,noun,"['decomposition', 'decompositions']"
disproportion,absence of symmetry or the proper dimensional relationship,noun,"['disproportion', 'disproportional', 'disproportions']"
Paracoccidioides,a genus of imperfect fungi that includes the causative agent (P. brasiliensis) of South American blastomycosis,noun,['Paracoccidioides']
coccidioidal,"belonging to, resembling, or caused by fungi of the genus Coccidioides",adjective,['coccidioidal']
paracystitis,inflammation of the connective tissue about the bladder,noun,"['paracystitides', 'paracystitis']"
coccidioides,"a genus of ascomycetous fungi (family Onygenaceae) found especially in dry, warm soils that produce infectious arthroconidia and cause coccidioidomycosis",noun,"['coccidioides', 'coccidioideses']"
coccidioidin,"an antigen derived from a fungus of the genus Coccidioides (C. immitis) while in its mycelial phase and used to detect skin sensitivity to and, by inference, infection with this organism",noun,"['coccidioidin', 'coccidioidins']"
coccidia,a large order of schizogonic telosporidian sporozoans typically parasites of the digestive epithelium of vertebrates and higher invertebrates and including several forms of great economic importance,noun plural,"['coccidia', 'coccidial']"
coccidiostat,a chemical agent added to animal feed (as for poultry) that serves to retard the life cycle or reduce the population of pathogenic coccidia to the point that disease is minimized and the host develops immunity,noun,"['coccidiostat', 'coccidiostats']"
renal,"relating to, involving, affecting, or located in the region of the kidneys : nephric",adjective,['renal']
tear,a drop of clear saline fluid secreted by the lacrimal gland and diffused between the eye and eyelids to moisten the parts and facilitate their motion,noun,"['tear', 'tearless', 'tears']"
teat,the protuberance through which milk is drawn from an udder or breast : nipple,noun,"['teat', 'teated', 'teats']"
hydra,any of numerous small tubular freshwater hydrozoan polyps (Hydra and related genera) having at one end a mouth surrounded by tentacles,noun,"['hydra', 'hydras']"
hair,a slender threadlike outgrowth of the epidermis of an animal; especially : one of the usually pigmented filaments that form the characteristic coat of a mammal,noun,"['hair', 'hairless', 'hairlessness', 'hairlessnesses', 'hairlike', 'hairs', ""in one's hair"", ""out of one's hair""]"
histidine,a crystalline essential amino acid C6H9N3O2 formed by the hydrolysis of most proteins —abbreviation His,noun,"['histidine', 'histidines']"
histidyl,the amino acid radical or residue C3H3N2CH2CH(NH2)CO— of histidine —abbreviation His,noun,['histidyl']
aspidinol,a yellow crystalline compound C12H16O4 found in the rhizome of the male fern,noun,"['aspidinol', 'aspidinols']"
histidinemia,a recessive autosomal metabolic defect that results in an excess amount of histidine in the blood and urine due to a deficiency of histidase,noun,"['histidinaemia', 'histidinaemic', 'histidinemia', 'histidinemias', 'histidinemic']"
histidinuria,the presence of an excessive amount of histidine in the urine (as in pregnancy),noun,['histidinuria']
histidase,an enzyme occurring especially in the liver of vertebrates that is capable of deaminating histidine to form urocanic acid,noun,"['histidase', 'histidases']"
histamine,"a compound C5H9N3 especially of mammalian tissues that causes dilatation of capillaries, contraction of smooth muscle, and stimulation of gastric acid secretion, that is released during allergic reactions, and that is formed by decarboxylation of histidine",noun,"['histamine', 'histamines', 'histaminic']"
Histomonas,"a genus of flagellate protozoans (family Mastigamoebidae) that are parasites in the liver and intestinal mucosa especially of poultry, and are usually considered to include a single species (H. meleagridis) that causes blackhead",noun,"['Histomonas', 'histomonad', 'histomonads', 'histomonal']"
cimetidine,an H2 antagonist C10H16N6S that like histamine contains the ring structure of imidazole and is used to inhibit gastric acid secretion in conditions in which such secretion produces duodenal or gastric ulcers or erosive lesions (as in serious cases of gastroesophageal reflux disease),noun,"['cimetidine', 'cimetidines']"
sorb,to take up and hold by either adsorption or absorption,transitive verb,"['sorb', 'sorbabilities', 'sorbability', 'sorbable', 'sorbed', 'sorbing', 'sorbs']"
sorbinil,a drug C11H19FN2O3 that inhibits the activity of a reductase which catalyzes the conversion of glucose to sorbitol and that has been used experimentally in the treatment of diabetic neuropathy,noun,['sorbinil']
sorbose,a sweet crystalline levorotatory ketohexose sugar C6H12O6 that is derived from sorbitol,noun,"['sorbose', 'sorboses']"
absorb,"to take up especially by capillary, osmotic, solvent, or chemical action",transitive verb,"['absorb', 'absorbabilities', 'absorbability', 'absorbable', 'absorbed', 'absorber', 'absorbers', 'absorbing', 'absorbs']"
phototoxic,rendering the skin susceptible to damage (as sunburn or blisters) upon exposure to light and especially ultraviolet light,adjective,"['phototoxic', 'phototoxicities', 'phototoxicity']"
guaiacol,a fragrant liquid or solid compound C7H8O2 obtained by distilling guaiacum or from wood-tar creosote or made synthetically and used chiefly as an expectorant and as a local anesthetic,noun,"['guaiacol', 'guaiacols']"
guaiacum,"a genus (family Zygophyllaceae) of tropical American trees and shrubs having pinnate leaves, usually blue flowers, and capsular fruit",noun,"['guaiacum', 'guaiacums']"
guanine,a purine base C5H5N5O that codes genetic information in the polynucleotide chain of DNA or RNA,noun,"['guanine', 'guanines']"
guarana,a dried paste made from the seeds of a Brazilian climbing shrub (Paullinia cupana) containing tannin and caffeine and used in making an astringent drink,noun,"['guarana', 'guaranas']"
echocardiography,the use of ultrasound to examine and measure the structure and functioning of the heart and to diagnose abnormalities and disease,noun,"['echocardiographer', 'echocardiographers', 'echocardiographic', 'echocardiographies', 'echocardiography']"
analyst,a person who analyzes or who is skilled in analysis,noun,"['analyst', 'analysts']"
bends,decompression sickness; also : intense joint pain occurring as a common manifestation of decompression sickness —usually used with the,"noun, plural in form but singular or plural in construction",['bends']
